;name;qid;measure;value
9;BR(BM25);1037798;map;0.10953273983004783
52;BR(BM25);1037798;map;0.1409883062988565
95;BR(BM25);1037798;map;0.1293350496297434
138;BR(BM25);1037798;map;0.10953273983004783
21;BR(BM25);104861;map;0.3567790836767869
64;BR(BM25);104861;map;0.42886807153331513
107;BR(BM25);104861;map;0.46400605963264624
150;BR(BM25);104861;map;0.3567790836767869
2;BR(BM25);1063750;map;0.0031931716250893872
45;BR(BM25);1063750;map;0.011719408297612869
88;BR(BM25);1063750;map;0.18220160536056304
131;BR(BM25);1063750;map;0.0031931716250893872
29;BR(BM25);1103812;map;0.327389560291746
72;BR(BM25);1103812;map;0.4015481101930619
115;BR(BM25);1103812;map;0.3265615983068262
158;BR(BM25);1103812;map;0.327389560291746
26;BR(BM25);1106007;map;0.09474230614095228
69;BR(BM25);1106007;map;0.11144479573664005
112;BR(BM25);1106007;map;0.3150992809360286
155;BR(BM25);1106007;map;0.09474230614095228
1;BR(BM25);1110199;map;0.1413096946637781
44;BR(BM25);1110199;map;0.15858686545812192
87;BR(BM25);1110199;map;0.4418512906915838
130;BR(BM25);1110199;map;0.1413096946637781
19;BR(BM25);1112341;map;0.1503767388544133
62;BR(BM25);1112341;map;0.103893530597142
105;BR(BM25);1112341;map;0.11222039179798114
148;BR(BM25);1112341;map;0.1503767388544133
40;BR(BM25);1113437;map;0.14692555895028564
83;BR(BM25);1113437;map;0.09380349927420467
126;BR(BM25);1113437;map;0.12623746462661686
169;BR(BM25);1113437;map;0.14692555895028564
35;BR(BM25);1114646;map;0.4533098135906559
78;BR(BM25);1114646;map;0.4039814306876194
121;BR(BM25);1114646;map;0.538257830997684
164;BR(BM25);1114646;map;0.4533098135906559
24;BR(BM25);1114819;map;0.6711319332723761
67;BR(BM25);1114819;map;0.6338102027580462
110;BR(BM25);1114819;map;0.583145839488186
153;BR(BM25);1114819;map;0.6711319332723761
18;BR(BM25);1115776;map;0.28227699807902723
61;BR(BM25);1115776;map;0.39694826055519733
104;BR(BM25);1115776;map;0.35168634096116685
147;BR(BM25);1115776;map;0.28227699807902723
14;BR(BM25);1117099;map;0.2148947151511177
57;BR(BM25);1117099;map;0.3038349417077468
100;BR(BM25);1117099;map;0.27168316800394365
143;BR(BM25);1117099;map;0.2148947151511177
12;BR(BM25);1121402;map;0.8098835485770333
55;BR(BM25);1121402;map;0.802195469633816
98;BR(BM25);1121402;map;0.8212352050116142
141;BR(BM25);1121402;map;0.8098835485770333
32;BR(BM25);1121709;map;0.00023946360153256704
75;BR(BM25);1121709;map;0.11969302077650312
118;BR(BM25);1121709;map;0.3369334136958508
161;BR(BM25);1121709;map;0.00023946360153256704
27;BR(BM25);1124210;map;0.9107008083075366
70;BR(BM25);1124210;map;0.8871148690060817
113;BR(BM25);1124210;map;0.9100812515263934
156;BR(BM25);1124210;map;0.9107008083075366
41;BR(BM25);1129237;map;0.3680848358779459
84;BR(BM25);1129237;map;0.3642460662975449
127;BR(BM25);1129237;map;0.48701068349676235
170;BR(BM25);1129237;map;0.3680848358779459
7;BR(BM25);1133167;map;0.5752656080089189
50;BR(BM25);1133167;map;0.6546729321592105
93;BR(BM25);1133167;map;0.7758890265883299
136;BR(BM25);1133167;map;0.5752656080089189
3;BR(BM25);130510;map;0.8510954266822411
46;BR(BM25);130510;map;0.8545216931834156
89;BR(BM25);130510;map;0.8718171779207861
132;BR(BM25);130510;map;0.8510954266822411
20;BR(BM25);131843;map;0.32620973647737955
63;BR(BM25);131843;map;0.29974067054054476
106;BR(BM25);131843;map;0.33203608757511227
149;BR(BM25);131843;map;0.32620973647737955
42;BR(BM25);146187;map;0.5393817518035288
85;BR(BM25);146187;map;0.5897573413817025
128;BR(BM25);146187;map;0.6985385643743595
171;BR(BM25);146187;map;0.5393817518035288
15;BR(BM25);148538;map;0.2168938760481038
58;BR(BM25);148538;map;0.2555781306578614
101;BR(BM25);148538;map;0.21784947490660034
144;BR(BM25);148538;map;0.2168938760481038
0;BR(BM25);156493;map;0.7425228361672948
43;BR(BM25);156493;map;0.8081502593110854
86;BR(BM25);156493;map;0.8195161051402685
129;BR(BM25);156493;map;0.7425228361672948
6;BR(BM25);168216;map;0.7920775932453777
49;BR(BM25);168216;map;0.8418154959792584
92;BR(BM25);168216;map;0.8504716692409572
135;BR(BM25);168216;map;0.7920775932453777
39;BR(BM25);182539;map;0.8110098338772481
82;BR(BM25);182539;map;0.8528971960974807
125;BR(BM25);182539;map;0.8230906397266494
168;BR(BM25);182539;map;0.8110098338772481
25;BR(BM25);183378;map;0.3074419222268414
68;BR(BM25);183378;map;0.11375700130647112
111;BR(BM25);183378;map;0.5201002391251424
154;BR(BM25);183378;map;0.3074419222268414
36;BR(BM25);19335;map;0.2255037941730742
79;BR(BM25);19335;map;0.3559734594559647
122;BR(BM25);19335;map;0.2954479010367839
165;BR(BM25);19335;map;0.2255037941730742
23;BR(BM25);207786;map;0.4306050365048047
66;BR(BM25);207786;map;0.5138883983388028
109;BR(BM25);207786;map;0.5141232874041798
152;BR(BM25);207786;map;0.4306050365048047
11;BR(BM25);264014;map;0.2764684796875681
54;BR(BM25);264014;map;0.3119440336127673
97;BR(BM25);264014;map;0.5026741941322542
140;BR(BM25);264014;map;0.2764684796875681
17;BR(BM25);359349;map;0.49839933370623557
60;BR(BM25);359349;map;0.4763155472207353
103;BR(BM25);359349;map;0.4947058703143478
146;BR(BM25);359349;map;0.49839933370623557
38;BR(BM25);405717;map;0.3305857822142169
81;BR(BM25);405717;map;0.3155870207142202
124;BR(BM25);405717;map;0.3225376238188225
167;BR(BM25);405717;map;0.3305857822142169
31;BR(BM25);443396;map;0.0051569672304236005
74;BR(BM25);443396;map;0.009094641979536203
117;BR(BM25);443396;map;0.055765707451833214
160;BR(BM25);443396;map;0.0051569672304236005
16;BR(BM25);451602;map;0.1222083710122119
59;BR(BM25);451602;map;0.12955485340530845
102;BR(BM25);451602;map;0.150266005320646
145;BR(BM25);451602;map;0.1222083710122119
37;BR(BM25);47923;map;0.4053943863395969
80;BR(BM25);47923;map;0.35069558456323147
123;BR(BM25);47923;map;0.38022610647365707
166;BR(BM25);47923;map;0.4053943863395969
4;BR(BM25);489204;map;0.05524243172997209
47;BR(BM25);489204;map;0.03189137785564672
90;BR(BM25);489204;map;0.021594828217791278
133;BR(BM25);489204;map;0.05524243172997209
28;BR(BM25);490595;map;0.409778728038802
71;BR(BM25);490595;map;0.3366021574763489
114;BR(BM25);490595;map;0.44101960961209724
157;BR(BM25);490595;map;0.409778728038802
8;BR(BM25);527433;map;0.06404295885898756
51;BR(BM25);527433;map;0.07315377837583828
94;BR(BM25);527433;map;0.11526835852299001
137;BR(BM25);527433;map;0.06404295885898756
5;BR(BM25);573724;map;0.5802085582932004
48;BR(BM25);573724;map;0.6917362335321362
91;BR(BM25);573724;map;0.6116952172711816
134;BR(BM25);573724;map;0.5802085582932004
22;BR(BM25);833860;map;0.13967445985008758
65;BR(BM25);833860;map;0.24930334348633934
108;BR(BM25);833860;map;0.4545231553802042
151;BR(BM25);833860;map;0.13967445985008758
34;BR(BM25);855410;map;0.8041666666666667
77;BR(BM25);855410;map;0.8041666666666667
120;BR(BM25);855410;map;0.8875
163;BR(BM25);855410;map;0.8041666666666667
30;BR(BM25);87181;map;0.6835678687268827
73;BR(BM25);87181;map;0.6414061457933996
116;BR(BM25);87181;map;0.6742566495049133
159;BR(BM25);87181;map;0.6835678687268827
33;BR(BM25);87452;map;0.24784534594519325
76;BR(BM25);87452;map;0.35883217527028743
119;BR(BM25);87452;map;0.3569102584885199
162;BR(BM25);87452;map;0.24784534594519325
10;BR(BM25);915593;map;0.3699400745025535
53;BR(BM25);915593;map;0.33963609813846346
96;BR(BM25);915593;map;0.33875150763921985
139;BR(BM25);915593;map;0.3699400745025535
13;BR(BM25);962179;map;0.05870083376308316
56;BR(BM25);962179;map;0.4167517653009367
99;BR(BM25);962179;map;0.5905688194779344
